timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_ms,tcp_flags
2026-06-18T14:00:00Z,192.168.1.2,10.0.0.7,19048,443,TCP,8,349,382,"SYN,ACK"
2026-06-18T14:00:02Z,192.168.1.6,10.0.0.7,28675,80,ICMP,1,255,116,
2026-06-18T14:00:04Z,192.168.1.33,10.0.0.7,2763,443,TCP,18,923,117,"PSH,ACK"
2026-06-18T14:00:06Z,192.168.1.18,10.0.0.5,50753,443,ICMP,14,760,147,
2026-06-18T14:00:08Z,192.168.1.14,10.0.0.6,7722,80,TCP,13,262,188,"FIN,ACK"
2026-06-18T14:00:10Z,192.168.1.17,10.0.0.5,48847,8080,ICMP,18,319,477,
2026-06-18T14:00:12Z,192.168.1.6,10.0.0.7,20237,22,UDP,19,457,365,
2026-06-18T14:00:14Z,192.168.1.3,10.0.0.7,15959,22,TCP,3,540,448,"SYN,ACK"
2026-06-18T14:00:16Z,192.168.1.18,10.0.0.6,42684,22,UDP,6,822,186,
2026-06-18T14:00:18Z,192.168.1.43,10.0.0.6,47018,80,TCP,20,1364,92,
2026-06-18T14:00:20Z,192.168.1.11,10.0.0.6,25891,22,TCP,18,513,355,"FIN,ACK"
2026-06-18T14:00:22Z,192.168.1.15,10.0.0.5,53783,22,TCP,13,612,38,ACK
2026-06-18T14:00:24Z,192.168.1.46,10.0.0.6,14958,8080,ICMP,13,1380,239,
2026-06-18T14:00:26Z,192.168.1.17,10.0.0.5,17186,22,TCP,19,941,464,
2026-06-18T14:00:28Z,192.168.1.24,10.0.0.5,10089,8080,UDP,3,160,445,
2026-06-18T14:00:30Z,192.168.1.10,10.0.0.7,11508,8080,TCP,20,194,202,"PSH,ACK"
2026-06-18T14:00:32Z,192.168.1.30,10.0.0.7,17500,80,ICMP,4,1460,458,
2026-06-18T14:00:34Z,192.168.1.49,10.0.0.6,51394,22,ICMP,4,665,227,
2026-06-18T14:00:36Z,192.168.1.30,10.0.0.5,63533,22,TCP,17,429,264,"SYN,ACK"
2026-06-18T14:00:38Z,192.168.1.41,10.0.0.7,40933,443,TCP,5,829,395,ACK
2026-06-18T14:00:40Z,192.168.1.50,10.0.0.7,61218,80,ICMP,20,727,255,
2026-06-18T14:00:42Z,192.168.1.8,10.0.0.6,58611,22,TCP,8,182,128,
2026-06-18T14:00:44Z,192.168.1.6,10.0.0.7,32873,80,TCP,18,321,70,"PSH,ACK"
