timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration_ms,tcp_flags
2026-06-18T14:00:00Z,8.8.34.1,10.0.0.5,53,20079,UDP,1,3318,3,
2026-06-18T14:00:00Z,1.1.34.1,10.0.0.5,53,16133,UDP,1,3240,3,
2026-06-18T14:00:00Z,8.8.29.1,10.0.0.5,53,43029,UDP,1,3518,3,
2026-06-18T14:00:00Z,8.8.17.1,10.0.0.5,53,5665,UDP,1,2688,4,
2026-06-18T14:00:00Z,1.1.46.1,10.0.0.5,53,20334,UDP,1,634,7,
2026-06-18T14:00:00Z,8.8.17.1,10.0.0.5,53,55920,UDP,1,3314,10,
2026-06-18T14:00:00Z,8.8.2.1,10.0.0.5,53,19101,UDP,1,3929,3,
2026-06-18T14:00:00Z,8.8.11.1,10.0.0.5,53,58124,UDP,1,3764,5,
2026-06-18T14:00:00Z,1.1.8.1,10.0.0.5,53,49831,UDP,1,2300,3,
2026-06-18T14:00:00Z,8.8.33.1,10.0.0.5,53,24337,UDP,1,3993,4,
2026-06-18T14:00:00Z,1.1.13.1,10.0.0.5,53,59891,UDP,1,3604,9,
2026-06-18T14:00:00Z,1.1.23.1,10.0.0.5,53,65342,UDP,1,2271,6,
2026-06-18T14:00:00Z,1.1.6.1,10.0.0.5,53,42878,UDP,1,1797,2,
2026-06-18T14:00:00Z,8.8.45.1,10.0.0.5,53,54740,UDP,1,2947,5,
2026-06-18T14:00:00Z,1.1.39.1,10.0.0.5,53,30408,UDP,1,2782,10,
2026-06-18T14:00:00Z,1.1.46.1,10.0.0.5,53,9861,UDP,1,2315,8,
2026-06-18T14:00:00Z,1.1.19.1,10.0.0.5,53,12599,UDP,1,1713,4,
2026-06-18T14:00:00Z,8.8.23.1,10.0.0.5,53,35279,UDP,1,1971,5,
2026-06-18T14:00:00Z,8.8.48.1,10.0.0.5,53,31135,UDP,1,1584,10,
2026-06-18T14:00:00Z,8.8.36.1,10.0.0.5,53,26960,UDP,1,1047,10,
2026-06-18T14:00:00Z,1.1.13.1,10.0.0.5,53,37070,UDP,1,1476,10,
2026-06-18T14:00:00Z,8.8.31.1,10.0.0.5,53,59129,UDP,1,1308,6,
2026-06-18T14:00:00Z,8.8.17.1,10.0.0.5,53,5826,UDP,1,2274,8,
2026-06-18T14:00:00Z,8.8.50.1,10.0.0.5,53,1166,UDP,1,3456,7,
2026-06-18T14:00:00Z,8.8.6.1,10.0.0.5,53,15763,UDP,1,1092,8,
2026-06-18T14:00:00Z,1.1.40.1,10.0.0.5,53,55952,UDP,1,2335,5,
2026-06-18T14:00:00Z,8.8.21.1,10.0.0.5,53,49071,UDP,1,2205,5,
2026-06-18T14:00:00Z,1.1.48.1,10.0.0.5,53,53660,UDP,1,1948,4,
2026-06-18T14:00:00Z,1.1.41.1,10.0.0.5,53,56969,UDP,1,3094,6,
2026-06-18T14:00:00Z,1.1.17.1,10.0.0.5,53,47981,UDP,1,3202,3,
2026-06-18T14:00:00Z,1.1.41.1,10.0.0.5,53,40574,UDP,1,1485,8,
2026-06-18T14:00:00Z,8.8.28.1,10.0.0.5,53,57487,UDP,1,3040,1,
2026-06-18T14:00:00Z,1.1.25.1,10.0.0.5,53,47016,UDP,1,2933,1,
2026-06-18T14:00:00Z,8.8.46.1,10.0.0.5,53,39233,UDP,1,3492,10,
2026-06-18T14:00:00Z,8.8.44.1,10.0.0.5,53,12961,UDP,1,1721,4,
2026-06-18T14:00:00Z,8.8.22.1,10.0.0.5,53,52627,UDP,1,3313,9,
2026-06-18T14:00:00Z,8.8.15.1,10.0.0.5,53,60046,UDP,1,1435,3,
2026-06-18T14:00:00Z,8.8.9.1,10.0.0.5,53,29148,UDP,1,3147,10,
2026-06-18T14:00:00Z,1.1.22.1,10.0.0.5,53,53912,UDP,1,2737,1,
2026-06-18T14:00:00Z,1.1.7.1,10.0.0.5,53,55114,UDP,1,1917,2,
2026-06-18T14:00:00Z,1.1.18.1,10.0.0.5,53,1218,UDP,1,1030,5,
2026-06-18T14:00:00Z,8.8.16.1,10.0.0.5,53,27765,UDP,1,1746,5,
2026-06-18T14:00:00Z,1.1.23.1,10.0.0.5,53,40165,UDP,1,3375,2,
2026-06-18T14:00:00Z,1.1.11.1,10.0.0.5,53,35235,UDP,1,2013,1,
2026-06-18T14:00:00Z,8.8.1.1,10.0.0.5,53,21974,UDP,1,1883,3,
2026-06-18T14:00:00Z,1.1.14.1,10.0.0.5,53,37708,UDP,1,2694,9,
2026-06-18T14:00:00Z,1.1.11.1,10.0.0.5,53,15641,UDP,1,3254,4,
2026-06-18T14:00:00Z,8.8.38.1,10.0.0.5,53,53374,UDP,1,642,7,
2026-06-18T14:00:00Z,1.1.15.1,10.0.0.5,53,47831,UDP,1,1155,3,
2026-06-18T14:00:00Z,8.8.34.1,10.0.0.5,53,28900,UDP,1,3313,4,
2026-06-18T14:00:00Z,8.8.34.1,10.0.0.5,53,28867,UDP,1,2920,4,
2026-06-18T14:00:00Z,8.8.46.1,10.0.0.5,53,51677,UDP,1,1512,10,
2026-06-18T14:00:00Z,8.8.37.1,10.0.0.5,53,29066,UDP,1,1346,6,
2026-06-18T14:00:00Z,1.1.5.1,10.0.0.5,53,3521,UDP,1,1810,7,
2026-06-18T14:00:00Z,1.1.9.1,10.0.0.5,53,6709,UDP,1,792,1,
2026-06-18T14:00:00Z,1.1.27.1,10.0.0.5,53,61402,UDP,1,528,5,
2026-06-18T14:00:00Z,8.8.25.1,10.0.0.5,53,30482,UDP,1,2481,9,
2026-06-18T14:00:00Z,8.8.50.1,10.0.0.5,53,22838,UDP,1,763,5,
2026-06-18T14:00:00Z,1.1.18.1,10.0.0.5,53,29529,UDP,1,1073,3,
2026-06-18T14:00:00Z,8.8.7.1,10.0.0.5,53,8359,UDP,1,2021,3,
2026-06-18T14:00:00Z,8.8.28.1,10.0.0.5,53,21206,UDP,1,1754,10,
2026-06-18T14:00:00Z,8.8.50.1,10.0.0.5,53,20090,UDP,1,648,6,
2026-06-18T14:00:00Z,8.8.17.1,10.0.0.5,53,7555,UDP,1,1990,8,
2026-06-18T14:00:00Z,1.1.7.1,10.0.0.5,53,39378,UDP,1,2901,7,
2026-06-18T14:00:00Z,8.8.6.1,10.0.0.5,53,24029,UDP,1,2703,5,
2026-06-18T14:00:00Z,8.8.17.1,10.0.0.5,53,64436,UDP,1,3803,1,
2026-06-18T14:00:00Z,8.8.42.1,10.0.0.5,53,11944,UDP,1,2745,3,
2026-06-18T14:00:00Z,8.8.1.1,10.0.0.5,53,59648,UDP,1,1528,3,
2026-06-18T14:00:00Z,8.8.12.1,10.0.0.5,53,32410,UDP,1,2034,2,
2026-06-18T14:00:00Z,8.8.45.1,10.0.0.5,53,18329,UDP,1,3796,4,
2026-06-18T14:00:00Z,8.8.7.1,10.0.0.5,53,48103,UDP,1,1486,4,
2026-06-18T14:00:00Z,1.1.17.1,10.0.0.5,53,52547,UDP,1,3639,8,
2026-06-18T14:00:00Z,8.8.25.1,10.0.0.5,53,38594,UDP,1,2122,10,
2026-06-18T14:00:00Z,8.8.7.1,10.0.0.5,53,56051,UDP,1,2752,1,
2026-06-18T14:00:00Z,8.8.15.1,10.0.0.5,53,41218,UDP,1,1073,9,
2026-06-18T14:00:00Z,1.1.48.1,10.0.0.5,53,54266,UDP,1,2030,9,
